place_name,city,category,description,latitude,longitude,top_activities,hotels
Pyramids of Giza,Giza,Historical,"An iconic ancient site evoking awe, mystery, and timeless grandeur.",29.9792,31.1342,Camel rides; Pyramid interior tours; Sound and light show,Marriott Mena House; Steigenberger Pyramids
Ras Mohammed National Park,Sharm El Sheikh,Nature,"A pristine marine park offering vibrant colors, life, and natural beauty.",27.7314,34.2542,Snorkeling; Diving; Bird watching,Four Seasons Resort; Rixos Sharm El Sheikh
Nubian Village,Aswan,Cultural,"A colorful and cheerful village full of joy, hospitality, and tradition.",24.06,32.88,Henna tattoos; Buying spices; Crocodile watching,Kato Dool Nubian Resort; Anakato
Baron Empain Palace,Cairo,Historical,"A unique architectural gem evoking mystery, eccentricity, and old charm.",30.0869,31.3303,Architecture tour; Photography; Garden walk,Triumph Luxury Hotel; Sonesta Hotel
Aswan Old Town Cafe 15,Aswan,Cafe,"A lively place full of energy, music, and modern vibes.",25.67697048908879,32.64276637536917,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Siwa Ancient Ruins 16,Siwa,Historical,"A lively place full of energy, music, and modern vibes.",25.63802042194094,32.5217043435081,Photography; Local food tasting; Exploring,Siwa Grand Hotel; Siwa Boutique Stay
Luxor Ancient Ruins 17,Luxor,Historical,A cozy artistic space inspiring creativity and conversation.,25.745589184984443,32.603129394303814,Photography; Local food tasting; Exploring,Luxor Grand Hotel; Luxor Boutique Stay
Aswan Relaxation Spot #18,Aswan,Relaxation,An ancient corner of the city that whispers stories of the past.,25.787266926343932,32.506946282935935,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Dahab Secret Beach 19,Dahab,Nature,"A romantic setting with breathtaking views, ideal for couples.",25.697700121145473,32.59338979121633,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Marsa Alam Secret Beach 20,Marsa Alam,Nature,"A romantic setting with breathtaking views, ideal for couples.",25.64429624980532,32.57778889297667,Photography; Local food tasting; Exploring,Marsa Alam Grand Hotel; Marsa Alam Boutique Stay
Siwa Old Town Cafe 21,Siwa,Cafe,"A romantic setting with breathtaking views, ideal for couples.",25.61157893422104,32.619684061125774,Photography; Local food tasting; Exploring,Siwa Grand Hotel; Siwa Boutique Stay
Sharm El Sheikh Adventure Spot #22,Sharm El Sheikh,Adventure,A rugged landscape that challenges the spirit and rewards the brave.,25.642673889832658,32.65161539315588,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Marsa Alam Secret Beach 23,Marsa Alam,Nature,A cozy artistic space inspiring creativity and conversation.,25.712301882059137,32.60408205238049,Photography; Local food tasting; Exploring,Marsa Alam Grand Hotel; Marsa Alam Boutique Stay
Aswan Adventure Spot #24,Aswan,Adventure,An ancient corner of the city that whispers stories of the past.,25.63438307206041,32.65212034945551,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Hurghada Relaxation Spot #25,Hurghada,Relaxation,A cozy artistic space inspiring creativity and conversation.,25.785541127901496,32.677389850434274,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
Siwa Art Spot #26,Siwa,Art,An ancient corner of the city that whispers stories of the past.,25.76096899339174,32.66861790781879,Photography; Local food tasting; Exploring,Siwa Grand Hotel; Siwa Boutique Stay
Luxor Old Town Cafe 27,Luxor,Cafe,An ancient corner of the city that whispers stories of the past.,25.71308205757089,32.54403409238868,Photography; Local food tasting; Exploring,Luxor Grand Hotel; Luxor Boutique Stay
Aswan Secret Beach 28,Aswan,Nature,An ancient corner of the city that whispers stories of the past.,25.618126654916047,32.5973481205255,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Hurghada Ancient Ruins 29,Hurghada,Historical,An ancient corner of the city that whispers stories of the past.,25.63317471259367,32.64373550255322,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
Luxor Old Town Cafe 30,Luxor,Cafe,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.653177280625677,32.58190257451717,Photography; Local food tasting; Exploring,Luxor Grand Hotel; Luxor Boutique Stay
Marsa Alam Old Town Cafe 31,Marsa Alam,Cafe,A cozy artistic space inspiring creativity and conversation.,25.788383398425974,32.64864914917095,Photography; Local food tasting; Exploring,Marsa Alam Grand Hotel; Marsa Alam Boutique Stay
Aswan Art Spot #32,Aswan,Art,A rugged landscape that challenges the spirit and rewards the brave.,25.693364859566056,32.548071063727754,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Sharm El Sheikh Old Town Cafe 33,Sharm El Sheikh,Cafe,An ancient corner of the city that whispers stories of the past.,25.699160765701407,32.63379068241019,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Siwa Adventure Spot #34,Siwa,Adventure,A cozy artistic space inspiring creativity and conversation.,25.62016603673253,32.52469396158855,Photography; Local food tasting; Exploring,Siwa Grand Hotel; Siwa Boutique Stay
Alexandria Adventure Spot #35,Alexandria,Adventure,A cozy artistic space inspiring creativity and conversation.,31.107219377859167,29.916635257873914,Photography; Local food tasting; Exploring,Alexandria Grand Hotel; Alexandria Boutique Stay
Sharm El Sheikh Art Spot #36,Sharm El Sheikh,Art,A cozy artistic space inspiring creativity and conversation.,25.792143434076824,32.63226404435787,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Hurghada Relaxation Spot #37,Hurghada,Relaxation,"A lively place full of energy, music, and modern vibes.",25.727401924113607,32.589281711191624,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
Hurghada Art Spot #38,Hurghada,Art,"A lively place full of energy, music, and modern vibes.",25.612085473402782,32.577296410908126,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
Dahab Old Town Cafe 39,Dahab,Cafe,A cozy artistic space inspiring creativity and conversation.,25.695947827777488,32.620248702060955,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Marsa Alam Old Town Cafe 40,Marsa Alam,Cafe,An ancient corner of the city that whispers stories of the past.,25.620141127639773,32.61715371680221,Photography; Local food tasting; Exploring,Marsa Alam Grand Hotel; Marsa Alam Boutique Stay
Sharm El Sheikh Secret Beach 41,Sharm El Sheikh,Nature,An ancient corner of the city that whispers stories of the past.,25.7696257093599,32.66357244819394,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Hurghada Relaxation Spot #42,Hurghada,Relaxation,An ancient corner of the city that whispers stories of the past.,25.70588368796146,32.64268138448927,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
Cairo Ancient Ruins 43,Cairo,Historical,"A lively place full of energy, music, and modern vibes.",30.077914579483807,31.162371452254135,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Alexandria Secret Beach 44,Alexandria,Nature,"A romantic setting with breathtaking views, ideal for couples.",31.155311374729457,29.806198914880742,Photography; Local food tasting; Exploring,Alexandria Grand Hotel; Alexandria Boutique Stay
Siwa Relaxation Spot #45,Siwa,Relaxation,A cozy artistic space inspiring creativity and conversation.,25.609540855725665,32.567491480802474,Photography; Local food tasting; Exploring,Siwa Grand Hotel; Siwa Boutique Stay
Cairo Old Town Cafe 46,Cairo,Cafe,A hidden spot perfect for quiet contemplation and escaping the crowd.,30.02531748331724,31.239452580532056,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Siwa Ancient Ruins 47,Siwa,Historical,A rugged landscape that challenges the spirit and rewards the brave.,25.6445461567613,32.65129882335214,Photography; Local food tasting; Exploring,Siwa Grand Hotel; Siwa Boutique Stay
Cairo Art Spot #48,Cairo,Art,An ancient corner of the city that whispers stories of the past.,30.075249799896362,31.239894505934313,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Aswan Art Spot #49,Aswan,Art,"A romantic setting with breathtaking views, ideal for couples.",25.696797796992094,32.57255051062014,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Cairo Old Town Cafe 50,Cairo,Cafe,An ancient corner of the city that whispers stories of the past.,30.0227952086792,31.273250563629873,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Marsa Alam Ancient Ruins 51,Marsa Alam,Historical,An ancient corner of the city that whispers stories of the past.,25.67913877005902,32.606773509335284,Photography; Local food tasting; Exploring,Marsa Alam Grand Hotel; Marsa Alam Boutique Stay
Siwa Art Spot #52,Siwa,Art,"A romantic setting with breathtaking views, ideal for couples.",25.783339473051253,32.53496511208263,Photography; Local food tasting; Exploring,Siwa Grand Hotel; Siwa Boutique Stay
Dahab Ancient Ruins 53,Dahab,Historical,A cozy artistic space inspiring creativity and conversation.,25.768701468536143,32.50236044816685,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Alexandria Ancient Ruins 54,Alexandria,Historical,"A lively place full of energy, music, and modern vibes.",31.12060027331532,29.93311627227547,Photography; Local food tasting; Exploring,Alexandria Grand Hotel; Alexandria Boutique Stay
Aswan Art Spot #55,Aswan,Art,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.67714599114228,32.51658499349885,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Aswan Old Town Cafe 56,Aswan,Cafe,An ancient corner of the city that whispers stories of the past.,25.72255594628862,32.52211425082225,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Dahab Adventure Spot #57,Dahab,Adventure,"A romantic setting with breathtaking views, ideal for couples.",25.654162792861776,32.614799444792176,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Cairo Secret Beach 58,Cairo,Nature,A hidden spot perfect for quiet contemplation and escaping the crowd.,30.087764611024834,31.149268088848913,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Alexandria Relaxation Spot #59,Alexandria,Relaxation,A rugged landscape that challenges the spirit and rewards the brave.,31.24697200528684,29.817842697371802,Photography; Local food tasting; Exploring,Alexandria Grand Hotel; Alexandria Boutique Stay
Siwa Secret Beach 60,Siwa,Nature,"A romantic setting with breathtaking views, ideal for couples.",25.72619522430539,32.56092452876235,Photography; Local food tasting; Exploring,Siwa Grand Hotel; Siwa Boutique Stay
Siwa Secret Beach 61,Siwa,Nature,"A lively place full of energy, music, and modern vibes.",25.631055070846596,32.6310255853452,Photography; Local food tasting; Exploring,Siwa Grand Hotel; Siwa Boutique Stay
Dahab Old Town Cafe 62,Dahab,Cafe,"A lively place full of energy, music, and modern vibes.",25.72405601250569,32.66319784914402,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Dahab Secret Beach 63,Dahab,Nature,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.744578263699232,32.5545207732954,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Cairo Art Spot #64,Cairo,Art,A cozy artistic space inspiring creativity and conversation.,30.04442325268842,31.141080009142872,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Marsa Alam Secret Beach 65,Marsa Alam,Nature,"A lively place full of energy, music, and modern vibes.",25.751408364559044,32.60371964288424,Photography; Local food tasting; Exploring,Marsa Alam Grand Hotel; Marsa Alam Boutique Stay
Hurghada Relaxation Spot #66,Hurghada,Relaxation,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.72418188267806,32.63603728276012,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
Hurghada Adventure Spot #67,Hurghada,Adventure,"A romantic setting with breathtaking views, ideal for couples.",25.677311250565737,32.671785689785956,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
Marsa Alam Adventure Spot #68,Marsa Alam,Adventure,"A romantic setting with breathtaking views, ideal for couples.",25.68757244047869,32.57177934083785,Photography; Local food tasting; Exploring,Marsa Alam Grand Hotel; Marsa Alam Boutique Stay
Sharm El Sheikh Relaxation Spot #69,Sharm El Sheikh,Relaxation,"A romantic setting with breathtaking views, ideal for couples.",25.64027637531562,32.52651317457921,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Alexandria Art Spot #70,Alexandria,Art,"A lively place full of energy, music, and modern vibes.",31.21982118984984,29.85020584275932,Photography; Local food tasting; Exploring,Alexandria Grand Hotel; Alexandria Boutique Stay
Marsa Alam Secret Beach 71,Marsa Alam,Nature,A rugged landscape that challenges the spirit and rewards the brave.,25.667347819474674,32.587782279833434,Photography; Local food tasting; Exploring,Marsa Alam Grand Hotel; Marsa Alam Boutique Stay
Hurghada Ancient Ruins 72,Hurghada,Historical,"A romantic setting with breathtaking views, ideal for couples.",25.63902418819598,32.6327922585742,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
Dahab Adventure Spot #73,Dahab,Adventure,A cozy artistic space inspiring creativity and conversation.,25.714705038168557,32.569359681863375,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Cairo Secret Beach 74,Cairo,Nature,An ancient corner of the city that whispers stories of the past.,29.942355118168027,31.18179106501683,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Cairo Relaxation Spot #75,Cairo,Relaxation,"A lively place full of energy, music, and modern vibes.",29.931423376716573,31.14067983189922,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Cairo Adventure Spot #76,Cairo,Adventure,"A lively place full of energy, music, and modern vibes.",29.986201242689432,31.29983358827417,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Marsa Alam Relaxation Spot #77,Marsa Alam,Relaxation,A rugged landscape that challenges the spirit and rewards the brave.,25.756623467727977,32.58830420599087,Photography; Local food tasting; Exploring,Marsa Alam Grand Hotel; Marsa Alam Boutique Stay
Dahab Old Town Cafe 78,Dahab,Cafe,"A lively place full of energy, music, and modern vibes.",25.671212083014982,32.555397080084155,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Dahab Relaxation Spot #79,Dahab,Relaxation,"A lively place full of energy, music, and modern vibes.",25.766851311864215,32.534073573764786,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Siwa Adventure Spot #80,Siwa,Adventure,"A romantic setting with breathtaking views, ideal for couples.",25.774202870011454,32.6267781223435,Photography; Local food tasting; Exploring,Siwa Grand Hotel; Siwa Boutique Stay
Luxor Ancient Ruins 81,Luxor,Historical,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.70765992652425,32.532147236138314,Photography; Local food tasting; Exploring,Luxor Grand Hotel; Luxor Boutique Stay
Dahab Ancient Ruins 82,Dahab,Historical,"A romantic setting with breathtaking views, ideal for couples.",25.73806822447375,32.683996087414705,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Siwa Secret Beach 83,Siwa,Nature,A rugged landscape that challenges the spirit and rewards the brave.,25.658939543033643,32.52965040162535,Photography; Local food tasting; Exploring,Siwa Grand Hotel; Siwa Boutique Stay
Luxor Old Town Cafe 84,Luxor,Cafe,A cozy artistic space inspiring creativity and conversation.,25.663818232710774,32.60904779035638,Photography; Local food tasting; Exploring,Luxor Grand Hotel; Luxor Boutique Stay
Siwa Relaxation Spot #85,Siwa,Relaxation,"A romantic setting with breathtaking views, ideal for couples.",25.78214859291628,32.58109351159942,Photography; Local food tasting; Exploring,Siwa Grand Hotel; Siwa Boutique Stay
Sharm El Sheikh Relaxation Spot #86,Sharm El Sheikh,Relaxation,A rugged landscape that challenges the spirit and rewards the brave.,25.605224287336483,32.61506728218317,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Dahab Relaxation Spot #87,Dahab,Relaxation,"A lively place full of energy, music, and modern vibes.",25.795650591327192,32.59125004107007,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Aswan Old Town Cafe 88,Aswan,Cafe,"A romantic setting with breathtaking views, ideal for couples.",25.730366634960887,32.55384993069992,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Luxor Art Spot #89,Luxor,Art,A cozy artistic space inspiring creativity and conversation.,25.616057545790742,32.5453439184728,Photography; Local food tasting; Exploring,Luxor Grand Hotel; Luxor Boutique Stay
Aswan Old Town Cafe 90,Aswan,Cafe,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.75480068427069,32.6899517612538,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Siwa Adventure Spot #91,Siwa,Adventure,A rugged landscape that challenges the spirit and rewards the brave.,25.69283546297357,32.51720876164358,Photography; Local food tasting; Exploring,Siwa Grand Hotel; Siwa Boutique Stay
Alexandria Ancient Ruins 92,Alexandria,Historical,"A lively place full of energy, music, and modern vibes.",31.19374393658405,29.85003251587308,Photography; Local food tasting; Exploring,Alexandria Grand Hotel; Alexandria Boutique Stay
Dahab Ancient Ruins 93,Dahab,Historical,A rugged landscape that challenges the spirit and rewards the brave.,25.79788227491064,32.58648439504709,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Hurghada Ancient Ruins 94,Hurghada,Historical,"A lively place full of energy, music, and modern vibes.",25.709344025877797,32.52655917073206,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
Cairo Old Town Cafe 95,Cairo,Cafe,"A romantic setting with breathtaking views, ideal for couples.",29.95882918083448,31.16442488591473,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Siwa Adventure Spot #96,Siwa,Adventure,A rugged landscape that challenges the spirit and rewards the brave.,25.612320759215446,32.56262347438341,Photography; Local food tasting; Exploring,Siwa Grand Hotel; Siwa Boutique Stay
Dahab Secret Beach 97,Dahab,Nature,"A lively place full of energy, music, and modern vibes.",25.743007652032702,32.64499555340228,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Alexandria Secret Beach 98,Alexandria,Nature,A hidden spot perfect for quiet contemplation and escaping the crowd.,31.24822787397907,29.952024822732003,Photography; Local food tasting; Exploring,Alexandria Grand Hotel; Alexandria Boutique Stay
Luxor Ancient Ruins 99,Luxor,Historical,"A romantic setting with breathtaking views, ideal for couples.",25.713077393390588,32.62900375691307,Photography; Local food tasting; Exploring,Luxor Grand Hotel; Luxor Boutique Stay
Luxor Secret Beach 100,Luxor,Nature,"A romantic setting with breathtaking views, ideal for couples.",25.693348785575232,32.62226021493583,Photography; Local food tasting; Exploring,Luxor Grand Hotel; Luxor Boutique Stay
Alexandria Secret Beach 101,Alexandria,Nature,A rugged landscape that challenges the spirit and rewards the brave.,31.10386964397353,29.822968652755126,Photography; Local food tasting; Exploring,Alexandria Grand Hotel; Alexandria Boutique Stay
Hurghada Art Spot #102,Hurghada,Art,"A lively place full of energy, music, and modern vibes.",25.707012390545025,32.68318371532801,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
Sharm El Sheikh Ancient Ruins 103,Sharm El Sheikh,Historical,"A romantic setting with breathtaking views, ideal for couples.",25.685325981381766,32.56406580598077,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Cairo Old Town Cafe 104,Cairo,Cafe,A cozy artistic space inspiring creativity and conversation.,29.932923831961244,31.279060728372787,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Aswan Ancient Ruins 105,Aswan,Historical,A rugged landscape that challenges the spirit and rewards the brave.,25.68787361967669,32.55131574403587,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Dahab Old Town Cafe 106,Dahab,Cafe,"A lively place full of energy, music, and modern vibes.",25.604639249715273,32.59911619273126,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Alexandria Relaxation Spot #107,Alexandria,Relaxation,"A romantic setting with breathtaking views, ideal for couples.",31.24833731508891,29.80224173436757,Photography; Local food tasting; Exploring,Alexandria Grand Hotel; Alexandria Boutique Stay
Dahab Relaxation Spot #108,Dahab,Relaxation,An ancient corner of the city that whispers stories of the past.,25.767113849318054,32.54167824996055,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Sharm El Sheikh Art Spot #109,Sharm El Sheikh,Art,An ancient corner of the city that whispers stories of the past.,25.784046362801202,32.67504313375966,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Dahab Adventure Spot #110,Dahab,Adventure,A rugged landscape that challenges the spirit and rewards the brave.,25.669247253692095,32.63652433621497,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Cairo Secret Beach 111,Cairo,Nature,A rugged landscape that challenges the spirit and rewards the brave.,30.03960604534444,31.13689733694058,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Aswan Art Spot #112,Aswan,Art,"A romantic setting with breathtaking views, ideal for couples.",25.668479121182617,32.58450408324238,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Sharm El Sheikh Secret Beach 113,Sharm El Sheikh,Nature,A rugged landscape that challenges the spirit and rewards the brave.,25.678666323697346,32.541315509770136,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Marsa Alam Ancient Ruins 114,Marsa Alam,Historical,A rugged landscape that challenges the spirit and rewards the brave.,25.759162086339877,32.690275634404266,Photography; Local food tasting; Exploring,Marsa Alam Grand Hotel; Marsa Alam Boutique Stay
Dahab Ancient Ruins 115,Dahab,Historical,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.637157507498255,32.501669916620074,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Marsa Alam Ancient Ruins 116,Marsa Alam,Historical,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.778022020091225,32.605430093630964,Photography; Local food tasting; Exploring,Marsa Alam Grand Hotel; Marsa Alam Boutique Stay
Sharm El Sheikh Adventure Spot #117,Sharm El Sheikh,Adventure,"A lively place full of energy, music, and modern vibes.",25.685343116130603,32.675241709009086,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Dahab Relaxation Spot #118,Dahab,Relaxation,"A lively place full of energy, music, and modern vibes.",25.647206258870824,32.61382570333663,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Luxor Ancient Ruins 119,Luxor,Historical,"A lively place full of energy, music, and modern vibes.",25.69741491880626,32.5368777047813,Photography; Local food tasting; Exploring,Luxor Grand Hotel; Luxor Boutique Stay
Luxor Ancient Ruins 120,Luxor,Historical,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.701525923064295,32.60770090281882,Photography; Local food tasting; Exploring,Luxor Grand Hotel; Luxor Boutique Stay
Aswan Relaxation Spot #121,Aswan,Relaxation,"A romantic setting with breathtaking views, ideal for couples.",25.66753443225347,32.60183502630387,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Sharm El Sheikh Adventure Spot #122,Sharm El Sheikh,Adventure,A rugged landscape that challenges the spirit and rewards the brave.,25.605377414511103,32.65861718867051,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Aswan Old Town Cafe 123,Aswan,Cafe,A cozy artistic space inspiring creativity and conversation.,25.767098524297097,32.63835877641483,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Sharm El Sheikh Adventure Spot #124,Sharm El Sheikh,Adventure,A rugged landscape that challenges the spirit and rewards the brave.,25.64148358264526,32.69286141657626,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Cairo Relaxation Spot #125,Cairo,Relaxation,A hidden spot perfect for quiet contemplation and escaping the crowd.,29.98627924992566,31.135265753241026,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Luxor Ancient Ruins 126,Luxor,Historical,"A lively place full of energy, music, and modern vibes.",25.654265928067513,32.655698743000876,Photography; Local food tasting; Exploring,Luxor Grand Hotel; Luxor Boutique Stay
Cairo Adventure Spot #127,Cairo,Adventure,An ancient corner of the city that whispers stories of the past.,30.034301548124112,31.125633959792623,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Cairo Adventure Spot #128,Cairo,Adventure,A rugged landscape that challenges the spirit and rewards the brave.,30.06077207994734,31.15083873829257,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Dahab Secret Beach 129,Dahab,Nature,"A romantic setting with breathtaking views, ideal for couples.",25.607265446102485,32.67971080861718,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Hurghada Art Spot #130,Hurghada,Art,A rugged landscape that challenges the spirit and rewards the brave.,25.77499643327805,32.65712391848715,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
